source_node_id;soure_node_entity;sink_node_id;sind_node_entity;association_type;sequence
70196;Issue;15122;Version;IssueVersion;NULL
70197;Issue;13616;Component;IssueComponent;NULL
70197;Issue;14640;Version;IssueFixVersion;NULL
70197;Issue;14640;Version;IssueVersion;NULL
70198;Issue;13940;Component;IssueComponent;NULL
70199;Issue;13940;Component;IssueComponent;NULL
70207;Issue;12234;Component;IssueComponent;NULL
70208;Issue;12442;Component;IssueComponent;NULL
70208;Issue;15018;Version;IssueFixVersion;NULL
70208;Issue;15018;Version;IssueVersion;NULL
70209;Issue;13616;Component;IssueComponent;NULL
70209;Issue;14640;Version;IssueFixVersion;NULL
70209;Issue;14640;Version;IssueVersion;NULL
70210;Issue;13940;Component;IssueComponent;NULL
70211;Issue;13940;Component;IssueComponent;NULL
70212;Issue;14818;Version;IssueFixVersion;NULL
70213;Issue;13940;Component;IssueComponent;NULL
70214;Issue;13612;Component;IssueComponent;NULL
70214;Issue;14632;Version;IssueFixVersion;NULL
70214;Issue;14632;Version;IssueVersion;NULL
70215;Issue;14818;Version;IssueFixVersion;NULL
70218;Issue;13940;Component;IssueComponent;NULL
70219;Issue;13616;Component;IssueComponent;NULL
70219;Issue;14340;Component;IssueComponent;NULL
70219;Issue;14640;Version;IssueFixVersion;NULL
70219;Issue;14640;Version;IssueVersion;NULL
70219;Issue;15304;Version;IssueFixVersion;NULL
70220;Issue;13940;Component;IssueComponent;NULL
70221;Issue;13940;Component;IssueComponent;NULL
70222;Issue;13940;Component;IssueComponent;NULL
70223;Issue;13940;Component;IssueComponent;NULL
70224;Issue;13940;Component;IssueComponent;NULL
70225;Issue;13940;Component;IssueComponent;NULL
70226;Issue;13940;Component;IssueComponent;NULL
70227;Issue;13940;Component;IssueComponent;NULL
70228;Issue;13940;Component;IssueComponent;NULL
70229;Issue;13940;Component;IssueComponent;NULL
70230;Issue;13940;Component;IssueComponent;NULL
70231;Issue;13940;Component;IssueComponent;NULL
70232;Issue;13940;Component;IssueComponent;NULL
70233;Issue;13940;Component;IssueComponent;NULL
70234;Issue;14313;Component;IssueComponent;NULL
70235;Issue;13940;Component;IssueComponent;NULL
70236;Issue;13940;Component;IssueComponent;NULL
70237;Issue;13940;Component;IssueComponent;NULL
70238;Issue;12442;Component;IssueComponent;NULL
70238;Issue;12512;Component;IssueComponent;NULL
70238;Issue;13512;Version;IssueVersion;NULL
70238;Issue;15313;Version;IssueFixVersion;NULL
70239;Issue;13940;Component;IssueComponent;NULL
70240;Issue;13940;Component;IssueComponent;NULL
70241;Issue;13940;Component;IssueComponent;NULL
70242;Issue;13940;Component;IssueComponent;NULL
70243;Issue;12516;Component;IssueComponent;NULL
70243;Issue;15018;Version;IssueFixVersion;NULL
70243;Issue;15122;Version;IssueVersion;NULL
70244;Issue;13940;Component;IssueComponent;NULL
70245;Issue;13940;Component;IssueComponent;NULL
70246;Issue;12441;Component;IssueComponent;NULL
70246;Issue;12442;Component;IssueComponent;NULL
70246;Issue;12514;Component;IssueComponent;NULL
70246;Issue;15018;Version;IssueVersion;NULL
70246;Issue;15607;Version;IssueFixVersion;NULL
70247;Issue;12442;Component;IssueComponent;NULL
70247;Issue;15122;Version;IssueVersion;NULL
70248;Issue;13940;Component;IssueComponent;NULL
70249;Issue;13940;Component;IssueComponent;NULL
70250;Issue;13940;Component;IssueComponent;NULL
70251;Issue;13940;Component;IssueComponent;NULL
70252;Issue;13940;Component;IssueComponent;NULL
70253;Issue;13940;Component;IssueComponent;NULL
70254;Issue;13940;Component;IssueComponent;NULL
70255;Issue;12442;Component;IssueComponent;NULL
70255;Issue;13512;Version;IssueVersion;NULL
70255;Issue;14321;Component;IssueComponent;NULL
70255;Issue;15313;Version;IssueFixVersion;NULL
70256;Issue;13616;Component;IssueComponent;NULL
70256;Issue;15120;Version;IssueFixVersion;NULL
70257;Issue;12442;Component;IssueComponent;NULL
70257;Issue;15122;Version;IssueVersion;NULL
70258;Issue;13940;Component;IssueComponent;NULL
70259;Issue;12442;Component;IssueComponent;NULL
70259;Issue;13512;Version;IssueVersion;NULL
70260;Issue;13940;Component;IssueComponent;NULL
70261;Issue;15120;Version;IssueFixVersion;NULL
70262;Issue;13616;Component;IssueComponent;NULL
70262;Issue;14640;Version;IssueFixVersion;NULL
70264;Issue;12442;Component;IssueComponent;NULL
70264;Issue;14321;Component;IssueComponent;NULL
70264;Issue;15122;Version;IssueVersion;NULL
70264;Issue;15313;Version;IssueFixVersion;NULL
70265;Issue;12516;Component;IssueComponent;NULL
70265;Issue;15122;Version;IssueVersion;NULL
70265;Issue;15313;Version;IssueFixVersion;NULL
70266;Issue;13612;Component;IssueComponent;NULL
70266;Issue;14632;Version;IssueFixVersion;NULL
70266;Issue;14632;Version;IssueVersion;NULL
70267;Issue;12514;Component;IssueComponent;NULL
70267;Issue;12515;Component;IssueComponent;NULL
70267;Issue;12531;Component;IssueComponent;NULL
70267;Issue;14321;Component;IssueComponent;NULL
70267;Issue;15018;Version;IssueVersion;NULL
70267;Issue;15626;Version;IssueFixVersion;NULL
70268;Issue;13616;Component;IssueComponent;NULL
70268;Issue;15120;Version;IssueFixVersion;NULL
70268;Issue;15120;Version;IssueVersion;NULL
70270;Issue;13616;Component;IssueComponent;NULL
70270;Issue;15120;Version;IssueFixVersion;NULL
70270;Issue;15120;Version;IssueVersion;NULL
70271;Issue;13612;Component;IssueComponent;NULL
70271;Issue;14632;Version;IssueFixVersion;NULL
70271;Issue;14632;Version;IssueVersion;NULL
70272;Issue;13616;Component;IssueComponent;NULL
70272;Issue;14640;Version;IssueFixVersion;NULL
70273;Issue;12442;Component;IssueComponent;NULL
70273;Issue;15018;Version;IssueFixVersion;NULL
70273;Issue;15122;Version;IssueVersion;NULL
70274;Issue;12442;Component;IssueComponent;NULL
70274;Issue;12516;Component;IssueComponent;NULL
70274;Issue;13519;Component;IssueComponent;NULL
70274;Issue;15122;Version;IssueVersion;NULL
70274;Issue;15313;Version;IssueFixVersion;NULL
70275;Issue;13616;Component;IssueComponent;NULL
70275;Issue;14340;Component;IssueComponent;NULL
70275;Issue;14640;Version;IssueFixVersion;NULL
70275;Issue;14640;Version;IssueVersion;NULL
70275;Issue;15304;Version;IssueFixVersion;NULL
70276;Issue;12448;Component;IssueComponent;NULL
70276;Issue;15311;Version;IssueFixVersion;NULL
70277;Issue;12442;Component;IssueComponent;NULL
70277;Issue;13512;Version;IssueVersion;NULL
70278;Issue;12448;Component;IssueComponent;NULL
70278;Issue;15311;Version;IssueFixVersion;NULL
70279;Issue;13940;Component;IssueComponent;NULL
70280;Issue;12448;Component;IssueComponent;NULL
70280;Issue;16423;Version;IssueFixVersion;NULL
70281;Issue;13940;Component;IssueComponent;NULL
70282;Issue;15310;Version;IssueFixVersion;NULL
70283;Issue;15014;Version;IssueVersion;NULL
70284;Issue;15310;Version;IssueFixVersion;NULL
70285;Issue;14313;Component;IssueComponent;NULL
70287;Issue;15310;Version;IssueFixVersion;NULL
70288;Issue;14313;Component;IssueComponent;NULL
70290;Issue;14313;Component;IssueComponent;NULL
70291;Issue;14313;Component;IssueComponent;NULL
70292;Issue;12005;Version;IssueFixVersion;NULL
70292;Issue;13818;Component;IssueComponent;NULL
70296;Issue;12442;Component;IssueComponent;NULL
70296;Issue;12512;Component;IssueComponent;NULL
70296;Issue;12901;Component;IssueComponent;NULL
70296;Issue;13512;Version;IssueVersion;NULL
70296;Issue;15018;Version;IssueFixVersion;NULL
70297;Issue;12442;Component;IssueComponent;NULL
70298;Issue;13940;Component;IssueComponent;NULL
70299;Issue;13940;Component;IssueComponent;NULL
70300;Issue;13940;Component;IssueComponent;NULL
70301;Issue;13940;Component;IssueComponent;NULL
70302;Issue;12442;Component;IssueComponent;NULL
70302;Issue;12512;Component;IssueComponent;NULL
70302;Issue;15018;Version;IssueFixVersion;NULL
70302;Issue;15122;Version;IssueVersion;NULL
70303;Issue;13940;Component;IssueComponent;NULL
70304;Issue;13940;Component;IssueComponent;NULL
70305;Issue;13940;Component;IssueComponent;NULL
70306;Issue;13940;Component;IssueComponent;NULL
70307;Issue;12516;Component;IssueComponent;NULL
70307;Issue;12531;Component;IssueComponent;NULL
70307;Issue;13512;Version;IssueVersion;NULL
70308;Issue;13940;Component;IssueComponent;NULL
70309;Issue;13940;Component;IssueComponent;NULL
70310;Issue;13616;Component;IssueComponent;NULL
70310;Issue;15120;Version;IssueFixVersion;NULL
70310;Issue;15120;Version;IssueVersion;NULL
70312;Issue;13940;Component;IssueComponent;NULL
70313;Issue;13940;Component;IssueComponent;NULL
70314;Issue;13940;Component;IssueComponent;NULL
70315;Issue;13940;Component;IssueComponent;NULL
70316;Issue;13940;Component;IssueComponent;NULL
70317;Issue;13940;Component;IssueComponent;NULL
70318;Issue;13940;Component;IssueComponent;NULL
70320;Issue;13940;Component;IssueComponent;NULL
70321;Issue;13940;Component;IssueComponent;NULL
70322;Issue;12516;Component;IssueComponent;NULL
